text,url,manifestolabel_human
"Strengere einheitliche Regeln hinzubekommen, um #Corona in den Griff zu kriegen, geht nur, wenn alle Bundesländer mitziehen. Wenn einzelne jetzt sagen: Nö, bei mir sind die Zahlen ja niedrig, muss das die Solidarität sein, von der in der Politik immer die Rede ist. #Förderalismus",https://twitter.com/2857610675/status/1336066183364272129,welfare +
"Alles, was gesagt wurde, sind nur Mittel, und was diesen Mitteln Geist verleiht, ist der allmächtige Gott. Wir sollten beten u. Gott um seine Hilfe zur Überwindung dieser schwierigen Situation bitten, also um die Gnade, die iranische Nation bisher oft von Gott erfahren durfte.",https://twitter.com/1307748781945954306/status/1320006074984992769,traditional morality +
"Nr. 177
Man hört, Sie erkundigten sich nach Italiens System.
Vielleicht, dass man Sie in Palermo nähm’? 
Herr #Sobotka, treten Sie zurück!",https://twitter.com/1185108027994714112/status/1335814795740798978,political authority +
"Mehr Leute sollten sich trauen, sich öffentlich auch außerhalb schwuler Events an der Leine (vor)führen zu lassen.

Ich habe ja 2020 schon vorgelegt und werde es auch 2021 tun.

Was wir machen, ist nicht nur gut, sondern auch politisch.

https://t.co/omVmHJVA1N",https://twitter.com/1134270667661217794/status/1343552479041093632,social justice +
"Wie kann es sein, dass der Staat dem #Mittelstand die Luft zum Atmen nimmt und auf der anderen Seite üppige Gehälter in der subventionierten Luftfahrtbranche finanziert? Die #Bundesregierung hat in ihrem kopflosen #Lockdown jedes Maß verloren! #AfD #Corona #Lufthansa #Bundestag",https://twitter.com/910913583168573440/status/1343485482467012608,market regulation +
"Keine Hinweise im Thread. Warum?

Genau!
Es gibt KEINE wirksamen Anreize.

Alles, was mit Milliarden subventioniert wird, betoniert den klimatödlichen Status Quo (von Besserverdienenden).

Was tun?
Ich fange wieder an: ALLE Subventionen auf Klim- und/oder soziale Relevanz prüfen.",https://twitter.com/103121268/status/1343530456457895937,environmentalism +
"Nach Wirtschafts- und Klimaflüchtlingen, kommen jetzt die Menschen, welche nicht mit dem traditionellen Familienbild zurecht kommen. 🤡

#Berlin #Ungarn #Familie",https://twitter.com/1034313325717475328/status/1343475623214395393,traditional morality +
"Wenn Präsident Trump erklärt, dass Geld zu den Menschen kommt, bin ich aufgeregt. Es bedeutet, dass er all ihr verstecktes Geld, insbesondere Gold, in den unterirdischen Gewölben versteckt hat. Was ist mit all der Panik? Das Impoundment Control Act von 1974 ist wichtig!Feuer https://t.co/2zbl31udXW",https://twitter.com/1244607461790814208/status/1343470568113373186,undefined
18 Kommunen und Gemeinden in Schleswig-Holstein und 218 bundesweit sind zur Aufnahme Geflüchteter bereit: https://t.co/0OP01G4SuA,https://twitter.com/3696678387/status/1343203430064652288,freedom/human rights +
"""Chinesische Investoren (Frage: die KPC???) sind inzwischen sehr versierte Käufer. [...] Sie konzentrieren sich jetzt darauf, ihre internationale Präsenz in bestimmten Märkten wie Lateinamerika und Spanien sowie in Schlüsselindustrien wie Energie und Infrastruktur auszubauen.“",https://twitter.com/1085580762232115201/status/1343462736454414336,undefined
